,Tract Name,geo,affgeoid,Public Transportation,Average Commute Time,Unemployment Rate,Home Vacancy Rate,Rental Vacancy Rate,Median Home Value,Median Rent,Median Income,Population with Higher Ed Degree
1,Pauka'a-Wailea,"Census Tract 201, Hawaii County, Hawaii",15001020100,56,41,38,83,79,4,3,6,48
2,Hilo: Upper Waiakea Forest Reserve,"Census Tract 202.02, Hawaii County, Hawaii",15001020202,3,5,75,71,90,4,7,1,22
3,Hilo: Pu'u'eo-Downtown,"Census Tract 203, Hawaii County, Hawaii",15001020300,9,5,68,85,83,4,3,2,45
4,Hilo: Villa Franca-Kaikodo,"Census Tract 204, Hawaii County, Hawaii",15001020400,18,5,75,81,90,3,3,1,27
5,Hilo: University-Houselots,"Census Tract 205, Hawaii County, Hawaii",15001020500,3,5,80,80,71,4,1,0,33
6,Hilo: Keaukaha-Pana'ewa,"Census Tract 206, Hawaii County, Hawaii",15001020600,13,7,80,74,84,3,14,15,24
7,Hilo: Puainako,"Census Tract 207.01, Hawaii County, Hawaii",15001020701,3,5,62,71,24,4,6,7,48
8,Hilo: Kawailani,"Census Tract 207.02, Hawaii County, Hawaii",15001020702,9,9,25,26,24,4,28,28,63
9,Hilo: Kahuku-Kaumana,"Census Tract 208.01, Hawaii County, Hawaii",15001020801,7,11,18,31,73,4,20,33,62
10,Hilo: Piihonua-Kaumana,"Census Tract 208.02, Hawaii County, Hawaii",15001020802,7,6,57,71,24,10,8,21,55
11,Hilo: Haihai,"Census Tract 209, Hawaii County, Hawaii",15001020900,3,5,12,62,86,11,17,25,59
12,Orchidland-Ainaloa,"Census Tract 210.03, Hawaii County, Hawaii",15001021003,9,59,86,62,54,1,4,1,11
13,Hawaiian Paradise Park,"Census Tract 210.05, Hawaii County, Hawaii",15001021005,7,56,26,71,63,3,8,6,43
14,Upper Puna (Puna Mauka),"Census Tract 210.10, Hawaii County, Hawaii",15001021010,3,54,80,85,70,1,4,1,19
15,Volcano-Mt. View,"Census Tract 210.11, Hawaii County, Hawaii",15001021011,18,67,20,86,78,2,8,4,50
16,Kea'au,"Census Tract 210.13, Hawaii County, Hawaii",15001021013,39,35,74,61,49,4,8,8,19
17,Kalapana-Kapoho,"Census Tract 211.01, Hawaii County, Hawaii",15001021101,3,68,86,87,60,3,3,1,62
18,Pahoa,"Census Tract 211.06, Hawaii County, Hawaii",15001021106,31,56,91,85,66,2,7,1,20
19,Ka'u,"Census Tract 212.02, Hawaii County, Hawaii",15001021202,59,86,85,88,79,0,3,3,10
20,South Kona,"Census Tract 213, Hawaii County, Hawaii",15001021300,8,70,66,82,55,17,19,8,40
21,Konawaena,"Census Tract 214.02, Hawaii County, Hawaii",15001021402,3,30,35,74,72,13,3,18,30
22,Hualalai,"Census Tract 215.02, Hawaii County, Hawaii",15001021502,3,16,85,81,75,54,8,21,26
23,Kealakehe,"Census Tract 215.04, Hawaii County, Hawaii",15001021504,7,5,69,71,81,9,8,20,9
24,Kalaoa,"Census Tract 215.07, Hawaii County, Hawaii",15001021507,3,13,51,83,88,21,16,27,49
25,Kaumalumalu-Keahou,"Census Tract 215.09, Hawaii County, Hawaii",15001021509,13,29,53,91,91,19,16,25,65
26,Kailua,"Census Tract 216.01, Hawaii County, Hawaii",15001021601,8,5,69,87,88,16,8,18,43
27,Holualoa,"Census Tract 216.04, Hawaii County, Hawaii",15001021604,8,8,72,91,91,17,33,31,55
28,Waimea-Pu'u Anahulu,"Census Tract 217.02, Hawaii County, Hawaii",15001021702,16,56,68,75,24,12,25,25,41
29,Kawaihae-Waikoloa,"Census Tract 217.04, Hawaii County, Hawaii",15001021704,7,35,59,91,91,13,28,33,63
30,North Kohala,"Census Tract 218, Hawaii County, Hawaii",15001021800,17,57,64,83,69,11,6,25,25
31,Honoka'a-Kukuihaele,"Census Tract 219.02, Hawaii County, Hawaii",15001021902,51,79,66,80,57,10,3,17,13
32,Pa'auhau-Pa'auilo,"Census Tract 220, Hawaii County, Hawaii",15001022000,31,82,59,83,24,4,11,18,22
33,North Hilo,"Census Tract 221.02, Hawaii County, Hawaii",15001022102,65,87,83,89,88,4,3,4,28
34,Hahaione-Mariners Ridge,"Census Tract 1.06, Honolulu County, Hawaii",15003000106,42,68,51,51,64,53,58,65,85
35,Kuapa Isle,"Census Tract 1.07, Honolulu County, Hawaii",15003000107,12,60,8,36,85,68,71,83,83
36,Hawaii Kai Marina,"Census Tract 1.08, Honolulu County, Hawaii",15003000108,50,54,38,59,24,72,87,69,82
37,Kalama Valley,"Census Tract 1.10, Honolulu County, Hawaii",15003000110,17,81,46,27,24,67,82,86,80
38,Lunalilo Park Subdivision,"Census Tract 1.11, Honolulu County, Hawaii",15003000111,28,69,5,8,24,66,NA,87,76
39,Koko Marina,"Census Tract 1.12, Honolulu County, Hawaii",15003000112,20,65,33,60,24,57,84,67,77
40,Portlock,"Census Tract 1.14, Honolulu County, Hawaii",15003000114,9,54,38,85,24,82,87,89,89
41,Kuliouou,"Census Tract 2, Honolulu County, Hawaii",15003000200,32,45,5,61,24,71,69,78,81
42,Aina Haina-Hawaii Loa Ridge,"Census Tract 3.01, Honolulu County, Hawaii",15003000301,10,33,17,75,24,80,70,83,83
43,Wailupe,"Census Tract 3.02, Honolulu County, Hawaii",15003000302,47,31,12,39,24,75,39,76,74
44,Waialae Nui Ridge-Ainakoa,"Census Tract 4.01, Honolulu County, Hawaii",15003000401,16,32,10,33,78,76,72,85,87
45,Waialae Iki,"Census Tract 4.02, Honolulu County, Hawaii",15003000402,7,31,4,66,24,81,NA,89,88
46,Waialae-Kahala,"Census Tract 5, Honolulu County, Hawaii",15003000500,32,35,7,83,90,82,86,85,86
47,Diamond Head,"Census Tract 6, Honolulu County, Hawaii",15003000600,9,50,59,76,24,NA,85,89,88
48,Kaimuki: 22nd Avenue,"Census Tract 7, Honolulu County, Hawaii",15003000700,46,12,33,61,24,73,49,48,66
49,Kaimuki: Kapiolani Community College,"Census Tract 8, Honolulu County, Hawaii",15003000800,46,18,13,71,70,73,29,51,74
50,Waialae Nui Valley,"Census Tract 9.01, Honolulu County, Hawaii",15003000901,52,23,38,49,66,44,57,29,69
51,Maunalani Heights,"Census Tract 9.02, Honolulu County, Hawaii",15003000902,31,24,31,76,78,75,52,78,84
52,Lower Wilhelmina,"Census Tract 9.03, Honolulu County, Hawaii",15003000903,32,13,9,69,61,72,40,43,77
53,Upper Palolo,"Census Tract 10, Honolulu County, Hawaii",15003001000,20,32,32,61,70,49,39,43,53
54,Central Palolo,"Census Tract 11, Honolulu County, Hawaii",15003001100,69,52,66,10,24,48,6,15,42
55,Waialae Avenue-Pukele Avenue,"Census Tract 12.01, Honolulu County, Hawaii",15003001201,66,28,18,81,90,61,23,44,51
56,Lower Palolo,"Census Tract 12.02, Honolulu County, Hawaii",15003001202,16,14,34,74,84,60,24,48,51
57,Kaimuki: 6th Avenue,"Census Tract 13, Honolulu County, Hawaii",15003001300,65,13,15,29,24,61,20,25,60
58,Kapaolono Field,"Census Tract 14, Honolulu County, Hawaii",15003001400,60,23,50,25,24,68,49,55,71
59,Upper Kapahulu,"Census Tract 15, Honolulu County, Hawaii",15003001500,42,12,31,70,72,66,22,45,55
60,Lower Kapahulu,"Census Tract 16, Honolulu County, Hawaii",15003001600,57,11,29,75,24,63,49,20,55
61,Kapiolani Park,"Census Tract 17, Honolulu County, Hawaii",15003001700,62,17,38,91,90,57,48,38,88
62,Koa Avenue,"Census Tract 18.01, Honolulu County, Hawaii",15003001801,85,23,15,91,91,16,8,3,66
63,Tusitala Street,"Census Tract 18.03, Honolulu County, Hawaii",15003001803,86,12,25,87,82,7,8,6,66
64,Jefferson School,"Census Tract 18.04, Honolulu County, Hawaii",15003001804,88,8,6,91,88,13,27,20,82
65,Waikiki Beach,"Census Tract 19.01, Honolulu County, Hawaii",15003001901,81,4,85,92,92,26,13,15,29
66,Ena Road,"Census Tract 19.03, Honolulu County, Hawaii",15003001903,62,14,59,85,73,28,43,27,71
67,Hobron Lane,"Census Tract 19.04, Honolulu County, Hawaii",15003001904,86,18,32,91,91,12,40,25,80
68,Seaside Avenue,"Census Tract 20.03, Honolulu County, Hawaii",15003002003,77,15,25,91,91,6,22,14,68
69,International Market Place,"Census Tract 20.04, Honolulu County, Hawaii",15003002004,73,23,65,87,77,11,21,3,47
70,Ala Wai-Niu Street,"Census Tract 20.05, Honolulu County, Hawaii",15003002005,81,15,62,89,89,16,9,6,67
71,Ala Wai-Olohana Street,"Census Tract 20.06, Honolulu County, Hawaii",15003002006,69,7,28,91,91,7,28,15,73
72,Olokele Avenue,"Census Tract 21, Honolulu County, Hawaii",15003002100,82,30,45,55,57,11,18,8,38
73,Kamoku Street-Iolani School,"Census Tract 22.01, Honolulu County, Hawaii",15003002201,73,10,11,79,89,11,17,6,65
74,Ala Wai Park-Lauiki Street,"Census Tract 22.02, Honolulu County, Hawaii",15003002202,73,26,26,68,73,18,38,25,72
75,Moiliili,"Census Tract 23, Honolulu County, Hawaii",15003002300,83,14,41,72,72,6,14,5,54
76,Lower McCully,"Census Tract 24.01, Honolulu County, Hawaii",15003002401,83,23,54,36,49,13,14,4,39
77,Upper McCully,"Census Tract 24.02, Honolulu County, Hawaii",15003002402,82,16,51,52,72,10,10,8,47
78,Lower Pawaa,"Census Tract 25, Honolulu County, Hawaii",15003002500,80,7,8,49,69,6,9,2,32
79,Bingham Tract,"Census Tract 26, Honolulu County, Hawaii",15003002600,84,13,34,74,75,9,9,5,56
80,UH Manoa Campus,"Census Tract 27.01, Honolulu County, Hawaii",15003002701,79,10,72,81,61,69,16,13,73
81,Punahou School,"Census Tract 27.02, Honolulu County, Hawaii",15003002702,79,18,72,56,77,27,21,17,69
82,St. Louis Heights,"Census Tract 28, Honolulu County, Hawaii",15003002800,59,18,10,45,55,69,63,68,86
83,East Manoa,"Census Tract 29, Honolulu County, Hawaii",15003002900,45,7,9,31,54,79,20,62,89
84,Judd Hillside-Lowrey Avenue,"Census Tract 30, Honolulu County, Hawaii",15003003000,23,9,21,47,69,80,21,84,86
85,Woodlawn,"Census Tract 31.01, Honolulu County, Hawaii",15003003101,28,22,10,24,24,79,25,71,84
86,Upper Manoa,"Census Tract 31.02, Honolulu County, Hawaii",15003003102,17,13,12,34,24,79,71,72,85
87,Round Top-Tantalus,"Census Tract 32, Honolulu County, Hawaii",15003003200,3,9,20,67,24,81,NA,79,87
88,Makiki Heights,"Census Tract 33, Honolulu County, Hawaii",15003003300,19,12,41,36,24,79,41,84,77
89,Thurston Street,"Census Tract 34.03, Honolulu County, Hawaii",15003003403,66,5,61,47,56,9,18,27,67
90,Makiki Fire Station,"Census Tract 34.04, Honolulu County, Hawaii",15003003404,74,8,48,56,57,13,22,21,70
91,Poki Street,"Census Tract 34.05, Honolulu County, Hawaii",15003003405,85,10,34,54,24,10,13,4,77
92,Lower Makiki,"Census Tract 34.06, Honolulu County, Hawaii",15003003406,85,24,74,63,69,6,16,9,59
93,Maryknoll School,"Census Tract 34.07, Honolulu County, Hawaii",15003003407,52,5,2,78,79,24,83,14,81
94,Academy of Arts,"Census Tract 35.01, Honolulu County, Hawaii",15003003501,76,7,23,67,69,4,17,13,73
95,Upper Pawaa,"Census Tract 35.02, Honolulu County, Hawaii",15003003502,88,10,14,47,54,17,8,4,46
96,Sheridan Street,"Census Tract 36.01, Honolulu County, Hawaii",15003003601,63,12,6,83,82,48,12,15,62
97,Ahana Street,"Census Tract 36.03, Honolulu County, Hawaii",15003003603,86,7,72,63,24,5,5,1,39
98,Kaheka Street-Makaloa Street,"Census Tract 36.04, Honolulu County, Hawaii",15003003604,85,9,36,83,80,10,16,4,70
99,Ala Moana,"Census Tract 37, Honolulu County, Hawaii",15003003700,78,14,12,87,75,50,63,41,88
100,Kakaako,"Census Tract 38, Honolulu County, Hawaii",15003003800,73,11,18,74,63,33,19,21,79
101,Civic Center,"Census Tract 39, Honolulu County, Hawaii",15003003900,88,27,65,14,24,7,0,0,46
102,Financial District,"Census Tract 40, Honolulu County, Hawaii",15003004000,77,5,75,88,90,17,24,45,85
103,Queen's Hospital,"Census Tract 41, Honolulu County, Hawaii",15003004100,86,20,6,63,77,7,7,9,52
104,Queen Emma Gardens,"Census Tract 42, Honolulu County, Hawaii",15003004200,78,24,15,61,64,13,24,29,80
105,Punchbowl,"Census Tract 43, Honolulu County, Hawaii",15003004300,85,24,28,69,75,26,9,19,69
106,Pauoa,"Census Tract 44, Honolulu County, Hawaii",15003004400,66,22,50,44,24,49,22,60,44
107,Dowsett Highlands,"Census Tract 45, Honolulu County, Hawaii",15003004500,40,15,18,70,65,67,56,47,81
108,Puunui-Waokanaka Street,"Census Tract 46, Honolulu County, Hawaii",15003004600,7,11,25,47,24,74,52,68,69
109,Alewa-Kawananakoa,"Census Tract 47, Honolulu County, Hawaii",15003004700,60,23,64,69,24,68,42,50,71
110,Kamehameha Heights,"Census Tract 48, Honolulu County, Hawaii",15003004800,72,25,64,54,24,51,10,30,40
111,Lanakila,"Census Tract 49, Honolulu County, Hawaii",15003004900,85,25,33,70,84,39,14,21,35
112,Kuakini,"Census Tract 50, Honolulu County, Hawaii",15003005000,77,14,32,20,24,23,9,19,42
113,Foster Botanical Garden,"Census Tract 51, Honolulu County, Hawaii",15003005100,77,10,10,8,24,24,3,4,65
114,Chinatown,"Census Tract 52, Honolulu County, Hawaii",15003005200,93,37,50,4,24,NA,3,1,3
115,Aala,"Census Tract 53, Honolulu County, Hawaii",15003005300,92,44,65,19,49,4,17,1,15
116,Mayor Wright Housing,"Census Tract 54, Honolulu County, Hawaii",15003005400,93,40,89,21,49,NA,0,0,1
117,Palama,"Census Tract 55, Honolulu County, Hawaii",15003005500,92,38,51,33,56,9,3,2,7
118,Kapalama,"Census Tract 56, Honolulu County, Hawaii",15003005600,89,24,25,20,51,33,6,10,11
119,Iwilei-Anuenue,"Census Tract 57, Honolulu County, Hawaii",15003005700,92,28,73,58,73,17,2,3,16
120,Waiakamilo Road,"Census Tract 58, Honolulu County, Hawaii",15003005800,91,26,53,9,24,3,5,6,8
121,Mokauea Street,"Census Tract 59, Honolulu County, Hawaii",15003005900,90,27,21,51,75,39,8,7,1
122,Umi Street,"Census Tract 60, Honolulu County, Hawaii",15003006000,93,38,29,26,57,NA,19,31,3
123,Kalihi Waena,"Census Tract 61, Honolulu County, Hawaii",15003006100,88,27,31,43,77,57,23,53,4
124,Kam IV Road,"Census Tract 62.01, Honolulu County, Hawaii",15003006201,91,41,20,9,52,28,4,15,4
125,Linapuni Street,"Census Tract 62.02, Honolulu County, Hawaii",15003006202,93,45,88,71,73,NA,0,0,1
126,Kalihi Valley Park,"Census Tract 63.01, Honolulu County, Hawaii",15003006301,88,53,64,39,72,48,40,49,19
127,Kalena Drive,"Census Tract 63.02, Honolulu County, Hawaii",15003006302,86,38,81,38,57,43,2,4,17
128,Gulick Avenue-Likelike,"Census Tract 64.01, Honolulu County, Hawaii",15003006401,82,26,2,4,24,50,21,52,5
129,Kamanaiki Street,"Census Tract 64.02, Honolulu County, Hawaii",15003006402,84,35,62,34,24,41,28,70,8
130,Upper Kalihi Valley,"Census Tract 65, Honolulu County, Hawaii",15003006500,86,43,34,33,84,40,33,67,31
131,Kahauiki Street,"Census Tract 66, Honolulu County, Hawaii",15003006600,16,2,92,88,82,NA,NA,73,79
132,Tripler-Moanalua,"Census Tract 67.01, Honolulu County, Hawaii",15003006701,32,15,57,26,24,61,67,57,65
133,Red Hill,"Census Tract 67.02, Honolulu County, Hawaii",15003006702,43,15,72,31,52,50,46,13,45
134,Aliamanu,"Census Tract 68.02, Honolulu County, Hawaii",15003006802,81,36,65,11,24,43,43,62,20
135,Aliamanu Crater,"Census Tract 68.04, Honolulu County, Hawaii",15003006804,3,7,74,14,49,NA,81,17,22
136,Salt Lake Country Club,"Census Tract 68.05, Honolulu County, Hawaii",15003006805,62,29,17,52,24,19,41,30,73
137,Ala Lilikoi,"Census Tract 68.06, Honolulu County, Hawaii",15003006806,21,28,6,4,24,63,86,46,50
138,Ala Ilima Mauka,"Census Tract 68.08, Honolulu County, Hawaii",15003006808,75,27,32,50,24,11,28,26,38
139,Ala Ilima Makai,"Census Tract 68.09, Honolulu County, Hawaii",15003006809,86,32,71,24,55,4,29,25,41
140,Arizona Road,"Census Tract 69, Honolulu County, Hawaii",15003006900,3,6,80,40,56,NA,82,20,27
141,Navy Marine Golf Course,"Census Tract 70, Honolulu County, Hawaii",15003007000,8,7,83,36,57,NA,78,14,16
142,Nimitz Elementary School,"Census Tract 71, Honolulu County, Hawaii",15003007100,3,4,53,10,50,NA,81,38,30
143,Hangar Avenue-Vickers Avenue,"Census Tract 73.02, Honolulu County, Hawaii",15003007302,3,3,48,62,56,NA,80,31,84
144,Hickam Air Force Base,"Census Tract 73.03, Honolulu County, Hawaii",15003007303,13,5,2,92,NA,NA,NA,NA,6
145,Ford Island,"Census Tract 74, Honolulu County, Hawaii",15003007400,6,3,53,63,83,NA,84,37,50
146,Halawa Valley,"Census Tract 75.02, Honolulu County, Hawaii",15003007502,3,NA,2,4,24,NA,NA,NA,2
147,Halawa Heights,"Census Tract 75.03, Honolulu County, Hawaii",15003007503,21,26,59,50,53,55,43,65,52
148,Aloha Stadium,"Census Tract 75.04, Honolulu County, Hawaii",15003007504,87,44,61,8,24,32,2,17,8
149,Foster Village,"Census Tract 75.05, Honolulu County, Hawaii",15003007505,52,34,5,38,84,39,61,66,42
150,Red Hill Military Housing,"Census Tract 75.06, Honolulu County, Hawaii",15003007506,3,9,61,4,24,NA,81,46,85
151,Lower Aiea,"Census Tract 77.01, Honolulu County, Hawaii",15003007701,57,29,13,30,24,52,48,60,32
152,Aiea Heights,"Census Tract 77.02, Honolulu County, Hawaii",15003007702,53,37,51,66,24,62,64,77,71
153,Lower Pearl City,"Census Tract 78.04, Honolulu County, Hawaii",15003007804,57,35,64,17,24,47,66,67,35
154,Waiau Townhouses,"Census Tract 78.05, Honolulu County, Hawaii",15003007805,61,45,54,25,69,11,44,46,36
155,Pearl Ridge High Rise,"Census Tract 78.07, Honolulu County, Hawaii",15003007807,56,28,12,68,71,7,28,20,57
156,Pearlridge Center,"Census Tract 78.08, Honolulu County, Hawaii",15003007808,69,47,34,17,24,10,22,25,14
