"","X1","geo","affgeoid","PubTrans_16","MeanTime_16","UnempRate_16","OnlyHighSchool_16","OnlyBachelors_16","OnlyGraduate_16","VacancyPercent_16","RentalVacancyRate_16","MedianValue_16","RentMedian_16","MedianIncome_16","Median_income","LogUnempRate_16","LogRentalVacancy_16","LogVacancyRate_16","LogGraduate_16","LogBachelors_16","LogPubTrans_16","LogMedianValue_16","QuantPubTrans_16","QuantMeanTime_16","QuantUnempRate_16","QuantOnlyHighSchool_16","QuantOnlyBachelors_16","QuantOnlyGraduate_16","QuantVacancyPercent_16","QuantRentalVacancyRate_16","QuantMedianValue_16","QuantRentMedian_16","QuantMedianIncome_16","TractNumber","Nickname","HigherEd","QuantHigherEd"
"1",1,"Census Tract 201, Hawaii County, Hawaii",15001020100,5.9,28.5,4.2,31.6,22.4,9.6,21.3,9.5,265600,968,47554,NA,1.435084525,2.251291799,3.058707073,2.261763098,3.109060959,1.774952351,12.4897467,0.559037987,0.413971539,0.380218746,0.650946725,0.483946842,0.443725744,0.832941315,0.790074091,0.035869693,0.034458426,0.057979537,201,"Pauka‰Û÷a-Wailea",32,0.484507042253521
"2",2,"Census Tract 202.02, Hawaii County, Hawaii",15001020202,1e-05,15.1,9.1,33.6,11.7,9.5,11.7,17.1,261400,1074,31875,NA,2.208274414,2.839078464,2.459588842,2.251291799,2.459588842,-11.51292546,12.47380708,0.030342232,0.047571445,0.748324121,0.707867811,0.13918617,0.442549688,0.705809714,0.895566271,0.035752087,0.066917559,0.007879572,202.02,"Hilo: Upper Waiakea Forest Reserve",21.2,0.222535211267606
"3",3,"Census Tract 203, Hawaii County, Hawaii",15001020300,1.1,15.8,7,33.2,18.5,11.4,23.3,10.4,277000,814,37969,NA,1.945910149,2.341805806,3.148453361,2.433613355,2.917770732,0.09531018,12.53177279,0.092849583,0.05021757,0.681112549,0.692814301,0.33135364,0.53369399,0.8538163,0.832176879,0.035987299,0.025873221,0.023403505,203,"Hilo: Pu‰Û÷u‰Û÷eo-Downtown",29.9,0.445070422535211
"4",4,"Census Tract 204, Hawaii County, Hawaii",15001020400,1.8,16.9,9,34.8,16.3,6.9,17.7,19.7,227600,856,28493,NA,2.197224577,2.980618636,2.87356464,1.931521412,2.791165108,0.587786665,12.33534498,0.183699871,0.050805598,0.748206515,0.757732565,0.230800894,0.314418441,0.810184641,0.902152182,0.027990121,0.027990121,0.006233094,204,"Hilo: Villa Franca-Kaiko‰Ûªo",23.2,0.267605633802817
"5",5,"Census Tract 205, Hawaii County, Hawaii",15001020500,1e-05,15.5,10,28.1,19.7,6.1,16.7,6.8,302700,768,22903,NA,2.302585093,1.916922612,2.815408719,1.808288771,2.980618636,-11.51292546,12.6204975,0.030342232,0.048865106,0.800893802,0.56821122,0.400329296,0.277725509,0.800717394,0.710866753,0.040103493,0.014818299,0.000940844,205,"Hilo: University-Houselots",25.8,0.332394366197183
"6",6,"Census Tract 206, Hawaii County, Hawaii",15001020600,1.5,19.4,10.1,37.7,18.6,3.7,13.5,10.8,223400,1236,57941,NA,2.312535424,2.379546134,2.602689685,1.30833282,2.923161581,0.405465108,12.31671917,0.134775961,0.074855933,0.802069858,0.806186052,0.341408915,0.156003763,0.744678349,0.843231801,0.02775491,0.142479125,0.151711161,206,"Hilo: Keaukaha-Pana‰Û÷ewa",22.3,0.242253521126761
"7",7,"Census Tract 207.01, Hawaii County, Hawaii",15001020701,1e-05,15.1,6.1,30.4,21.3,10.5,12.2,1e-05,296800,1068,49368,NA,1.808288771,-11.51292546,2.501435952,2.351375257,3.058707073,-11.51292546,12.60081379,0.030342232,0.047571445,0.620486887,0.638245325,0.43114195,0.494413736,0.71227802,0.236093144,0.038221804,0.064212631,0.070798542,207.01,"Hilo: Puainako",31.8,0.47887323943662
"8",8,"Census Tract 207.02, Hawaii County, Hawaii",15001020702,1.1,20.2,3.2,24.6,30.5,7.2,3.5,1e-05,300800,1507,69571,NA,1.16315081,-11.51292546,1.252762968,1.974081026,3.417726684,0.09531018,12.61420087,0.092849583,0.093143596,0.245266377,0.428437022,0.78919205,0.32647301,0.256791721,0.236093144,0.039985887,0.283194167,0.283194167,207.02,"Hilo: Kawailani",37.7,0.628169014084507
"9",9,"Census Tract 208.01, Hawaii County, Hawaii",15001020801,0.6,20.9,2.8,24.3,23.2,14.1,4.1,7.3,294000,1339,74112,NA,1.029619417,1.987874348,1.410986974,2.646174797,3.144152279,-0.510825624,12.59133505,0.074326708,0.113254146,0.178642832,0.422321534,0.507820769,0.641126661,0.314888863,0.727860755,0.036340115,0.197577326,0.326708221,208.01,"Hilo: Kahuku-Kaumana",37.3,0.616901408450704
"10",10,"Census Tract 208.02, Hawaii County, Hawaii",15001020802,0.6,18.4,5.7,33,17.4,17.2,12.4,1e-05,353300,1135,63750,NA,1.740466175,-11.51292546,2.517696473,2.844909384,2.856470206,-0.510825624,12.77507283,0.074326708,0.061978125,0.570269317,0.692696695,0.273021287,0.692696695,0.713689286,0.236093144,0.095025285,0.080677408,0.205104081,208.02,"Hilo: Piihonua-Kaumana",34.6,0.554929577464789
